"Codice ISTAT","Ente","Indirizzo","C.A.P.","Denominazione comune","Provincia","Email","Email PEC","Fax","U.R.P. email","U.R.P. fax","U.R.P. telefono","Abitanti","Superficie","Perimetro","Altitudine espressa in m. s.l.","Codice catastale","Codice Fiscale","A.T.O.","A.T.S.","Distretto Socio Sanitario","PLUS","Santo patrono","Festività Santo patrono"
"090027","Comune di Cossoine","Via Vittorio Emanuele, 14","07010","Cossoine","Sassari","info@comune.cossoine.ss.it","protocollo@pec.comune.cossoine.ss.it","+39 079 861036","","","","788","39,02","41994,07","529,00","D100","00256400904","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","11 agosto Santa Chiara ","11 agosto"
"090028","Comune di Esporlatu","Piazza Dante, 1","07010","Esporlatu","Sassari","info@comune.esporlatu.ss.it","protocollo.esporlatu@pec.comunas.it","+39 079 793784","","","","380","18,40","30284,86","473,00","D441","81000590901","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","25 ottobre San Gavino","25 ottobre"
"090029","Comune di Florinas","Via G. Deledda, 1","07030","Florinas","Sassari","servizigenerali@comune.florinas.ss.it","protocollo.florinas@pec.it","+39 079 438434","","","","1500","36,06","34002,23","417,00","D637","00283250900","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","4 ottobre San Francesco d'Assisi","4 ottobre"
"090030","Comune di Giave","Corso Repubblica, 42/C","07010","Giave","Sassari","amministrativo@comune.giave.ss.it","protocollo@pec.comune.giave.ss.it","","","","","508","47,00","46665,03","595,00","E019","00256990904","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","30 novembre Sant'Andrea","30 novembre"
"090031","Comune di Illorai","Piazza IV Novembre, 2","07010","Illorai","Sassari","comune.illorai@gmail.com","protocollo@pec.comune.illorai.ss.it","+39 079 792656","","","","798","57,19","53026,30","515,00","E285","81000930909","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","25 ottobre San Gavino","25 ottobre"
"090032","Comune di Ittireddu","Via San Giacomo, 3","07010","Ittireddu","Sassari","segreteria@comune.ittireddu.ss.it","protocollo@pec.comune.ittireddu.ss.it","+39 079 767669","","","","485","23,69","26929,35","316,00","E376","00283910909","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","25 luglio San Giacomo","25 luglio"
"090033","Comune di Ittiri","Via San Francesco, 1","07044","Ittiri","Sassari","info@comune.ittiri.ss.it","protocollo@pec.comune.ittiri.ss.it","","","","","8379","111,46","60744,66","392,00","E377","00367560901","Coros","","Distretto di Alghero","PLUS - Distretto di Alghero","29 giugno San Pietro in Vincoli","29 giugno"
"090034","Comune di Laerru","Via Grazia Deledda, 8","07030","Laerru","Sassari","protocollo@comunelaerru.ss.it","protocollo@pec.comunelaerru.ss.it","+39 079 570300","","","","881","19,85","19201,16","165,00","E401","00247410905","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","20 luglio Santa Margherita","20 luglio"
"090035","Comune di La Maddalena","Piazza Garibaldi, 13","07024","La Maddalena","Sassari","protocollo.sulas@comunelamaddalena.it","protocollo@pec.comunelamaddalena.it","","urp.lubrano@comunelamaddalena.it","","+39 0789 790711","11051","52,01","235264,81","19,00","E425","82004370902","Gallura","","Distretto di La Maddalena","PLUS - Distretto di Olbia","22 luglio Santa Maria Maddalena","22 luglio"
"090036","Comune di Luogosanto","Piazza Della Basilica, 2","07020","Luogosanto","Sassari","protocollo@comuneluogosanto.it","protocollo.luogosanto@pec.comunas.it","+39 079 652399","","","","1860","135,07","67500,46","321,00","E747","00266870906","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","8 settembre Natività di Maria Bambina","8 settembre"
"090037","Comune di Luras","Via Nazionale, 12","07025","Luras","Sassari","comune.luras@tiscali.it","protocollo@pec.comune.luras.ss.it","","","","","2486","87,59","50202,49","508,00","E752","00248590903","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","I lunedì di ottobre Madonna del Buoncamino","I lunedì di ottobre Madonna del Buoncamino"
"090038","Comune di Mara","Via Antonico Mariani, 1","07010","Mara","Sassari","protocollo@comune.mara.ss.it","protocollo@pec.comune.mara.ss.it","+39 079 805320","","","","562","18,64","21388,53","261,00","E902","00255900904","Villanova","","Distretto di Alghero","PLUS - Distretto di Alghero","24 giugno San Giovanni Battista","24 giugno"
"090039","Comune di Martis","Viale Trieste, 1","07030","Martis","Sassari","ufficioragioneria@comune.martis.ss.it","protocollo@pec.comune.martis.ss.it","+36 079 566125","sindaco@comune.martis.ss.it","","+39 079 566129","478","22,96","27488,72","280,00","E992","00274490903 ","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","27 luglio San Pantaleo","27 luglio San Pantaleo"
"090040","Comune di Monteleone Rocca Doria","Via S. Antonio, 1","07010","Monteleone Rocca Doria","Sassari","aagg@comune.monteleoneroccadoria.ss.it","protocollo@pec.comune.monteleoneroccadoria.ss.it","+39 079 925124","","","","107","13,39","20436,06","370,00","F542","00222250904","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","3 agosto Santo Stefano","3 agosto"
"090041","Comune di Monti","Via Regione Sarda, 2","07020","Monti","Sassari","protocollo@comune.monti.ss.it","monti@pec.comune.monti.ss.it","+39 0789 44641","","","","2399","123,82","52881,98","300,00","F667","00060850906","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","25 ottobre San Gavino","25 ottobre"
"090042","Comune di Mores","Piazza Padre Paolo Serra, 1","07013","Mores","Sassari","protocollo@comune.mores.ss.it","protocollo@pec.comune.mores.ss.it","","","","","1873","94,86","48420,58","366,00","F721","01822380901","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","25 novembre Santa Caterina","25 novembre"
"090043","Comune di Muros","Via Brigata Sassari, 66","07030","Muros","Sassari","amministrativo@comune.muros.ss.it","protocollo@pec.comune.muros.ss.it","+39 079 34400.39","","","","829","11,23","16984,84","330,00","F818","80014950903","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","25 ottobre San Gavino","25 ottobre"
"090044","Comune di Nughedu San Nicolò","Piazza Marconi, 2","07010","Nughedu San Nicolò","Sassari","anagrafe@comunenughedusn.it","protocollo@pec.comune.nughedusannicolo.ss.it","+39 079 763394","","","","783","67,89","49522,20","577,00","F975","00256970906","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","6 dicembre San Nicola di Bari","6 dicembre"
"090045","Comune di Nule","Via Roma, 1","07010","Nule","Sassari","protocollo@comune.nule.ss.it","protocollo.nule@legalmail.it","+39 079 765128","","","","1336","51,95","39563,89","656,00","F976","81001030907","Goceano","","Distretto di OzierI","PLUS - Distretto di OzierI","8 settembre Natività Maria Vergine","8 settembre"
"090046","Comune di Nulvi","Corso Vittorio Emanuele, 60","07032","Nulvi","Sassari","protocollo@comune.nulvi.ss.it","comune.nulvi@legalmail.it","+39 079 5779020","","","","2699","67,38","43391,52","478,00","F977","00276390903","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","15 agosto Assunzione Maria Vergine","15 agosto"
"090047","Comune di Olbia","Via Dante, 1","07026","Olbia","Sassari","comune.olbia@comune.olbia.ot.it","comune.olbia@actaliscertymail.it","","upc@comune.olbia.ot.it","+39 0789 52306","+39 0789 24800","61323","383,64","266119,88","15,00","G015","91008330903","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","15 maggio San Simplicio","15 maggio"
"090048","Comune di Olmedo","Corso Kennedy, 26","07040","Olmedo","Sassari","protocollo@comune.olmedo.ss.it","protocollo@pec.comune.olmedo.ss.it","","","","","4185","33,47","26741,04","68,00","G046","80002420901","Coros","","Distretto di Alghero","PLUS - Distretto di Alghero","I maggio Nostra Signora di Talia","I maggio"
"090049","Comune di Oschiri","Via Guglielmo Marconi, 9","07027","Oschiri","Sassari","info@comune.oschiri.ss.it","protocollo@pec.comune.oschiri.ss.it","+39 079 7349109","affarigenerali@comune.oschiri.ss.it","","+39 079 734900","3142","215,61","82300,73","202,00","G153","00110800901","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","10 settembre Santa Lucia e San Demetrio","10 settembre"
"090050","Comune di Osilo","Via Sanna Tolu, 30","07033","Osilo","Sassari","comune.osilo@comune.osilo.ss.it","protocollo@pec.comune.osilo.ss.it","","","","","2937","98,03","63233,14","671,00","G156","80005910908","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","8 dicembre Immacolata Concezione","8 dicembre"
"090051","Comune di Ossi","Via Roma, 48","07045","Ossi","Sassari","info@comune.ossi.ss.it","protocollo@pec.comuneossi.it","","urp@comuneossi.it","","+39 079 3403113","5646","30,09","33623,96","332,00","G178","00094050903","Coros","","Distretto di Sassari","PLUS - Distretto di Sassari","24 agosto San Bartolomeo","24 agosto"
"090052","Comune di Ozieri","Via Vittorio Veneto, 11","07014","Ozieri","Sassari","protocollo@comune.ozieri.ss.it","protocollo@pec.comune.ozieri.ss.it","+39 079 781206","","","","10334","252,13","96555,41","340,00","G203","00247640907","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","13 novembre Sant'Antioco","13 novembre"
"090053","Comune di Padria","Piazza del Comune, 1","07015","Padria","Sassari","amministrativo@comune.padria.ss.it","protocollo@pec.comune.padria.ss.it","+39 079 807323","","","","634","48,39","40823,93","311,00","G225","00297880908","Villanova","","Distretto di Alghero","PLUS - Distretto di Alghero","22 maggio Santa Giulia","22 maggio"
"090054","Comune di Palau","Piazza Popoli D'Europa, 1","07020","Palau","Sassari","info@palau.it","protocollo@pec.palau.it","+39 0789 770810","comunicazione@palau.it","","","4245","44,44","53550,47","5,00","G258","82004530901","Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","il venerdì precedente la I domenica di settembre Madonna delle Grazie","il venerdì precedente la I domenica di settembre Madonna delle Grazie"
"090055","Comune di Pattada","Via Roma, 10","07016","Pattada","Sassari","protocollo@comune.pattada.ss.it","protocollo.pattada@pec.comunas.it","","","","","2984","164,88","68652,78","794,00","G376","00247490907","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","29 agosto Santa Sabina","29 agosto"
"090056","Comune di Perfugas","Piazza Mannu, 1","07034","Perfugas","Sassari","info@comuneperfugas.it","protocollo@pec.comuneperfugas.it","+39 079 5639131","","","","2343","60,88","44106,12","91,00","G450","00261120901","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","2 agosto Madonna degli  Angeli","2 agosto"
"090057","Comune di Ploaghe","Piazza San Pietro, 1","07017","Ploaghe","Sassari","protocollo@comune.ploaghe.ss.it","comunediploaghe@pec.comune.ploaghe.ss.it","","","","","4440","96,27","55368,15","427,00","G740","00253310908","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","29 giugno San Pieto Apostolo martire","29 giugno"
"090058","Comune di Porto Torres","Piazza Umberto, 1","07046","Porto Torres","Sassari","comune@comune.porto-torres.ss.it","comune@pec.comune.porto-torres.ss.it","","urp@comune.porto-torres.ss.it","+39 079 5008180","+39 079 5008040","22158","104,41","180265,55","12,00","G924","00252040902","Nurra","","Distretto di Sassari","PLUS - Distretto di Sassari","6 dicembre SS. Gavino, Proto e Gianuario","6 dicembre"
"090059","Comune di Pozzomaggiore","Via Sacerdote A. Fadda, 10","07018","Pozzomaggiore","Sassari","amministrativo@comune.pozzomaggiore.ss.it","protocollo@pec.comune.pozzomaggiore.ss.it","+39 079 800155","amministrativo@comune.pozzomaggiore.ss.it","","+39 079 9142401","2520","78,77","54201,97","438,00","G962","00104700901","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","23 aprile San Giorgio","23 aprile"
"090060","Comune di Putifigari","Piazza Boyl, 9","07040","Putifigari","Sassari","comune.putifigari@tiscali.it","protocollo.putifigari@legalmail.it","+39 079 905010","","","","720","53,10","35943,22","267,00","H095","00253840904","Coros","","Distretto di Alghero","PLUS - Distretto di Alghero","III domenica di maggio        Nostra Signora de S'Ena Frisca ","III domenica di maggio        Nostra Signora de S'Ena Frisca "
"090061","Comune di Romana","Via Roma, 50","07010","Romana","Sassari","protocollo@comune.romana.ss.it","protocollo@pec.comune.romana.ss.it","+39 079 925241","","","","523","21,60","25182,26","267,00","H507","80005220902","Villanova","","Distretto di Alghero","PLUS - Distretto di Alghero","2 agosto Madonna degli Angeli","2 agosto"
"090062","Comune di Aglientu","Via Pariseddu 39","07020","Aglientu","Sassari","info@comune.aglientu.ot.it","protocollo@pec.comune.aglientu.ot.it","+39 079 654340","segreteriaeaffarigenerali.aglientu@pec.it","+39 079 654340","+39 079 6579103 ","1193","148,20","87411,30","420,00","H848","00255510901","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","4 ottobre San Francesco","4 ottobre"
"090063","Comune di Santa Teresa Gallura","Piazza Villa Marina, 1","07028","Santa Teresa Gallura","Sassari","info@comunestg.it","protocollo@pec.comunestg.it","+39 02 57766477","urp@comunestg.it","","+39 0789 740907","5308","102,29","104499,02","44,00","I312","00218850907","Alta Gallura","","Distretto di Olbia","PLUS - Distretto di Olbia","15 ottobre Santa Teresa","15 ottobre"
"090064","Comune di Sassari","Piazza del Comune, snc","07100","Sassari","Sassari","info@comune.sassari.it","protocollo@pec.comune.sassari.it","","urp@comune.sassari.it","","+39 079 279837","126218","547,04","170973,80","225,00","I452","00239740905","Nurra","","Distretto di Sassari","PLUS - Distretto di Sassari","6 dicembre San Nicola di Bari","6 dicembre"
"090065","Comune di Sedini","Via La Rampa, 20","07035","Sedini","Sassari","segreteria@comune.sedini.ss.it","protocollo@pec.comune.sedini.ss.it","","","","","1296","40,51","36109,35","306,00","I565","80003520907","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","30 novembre Sant'Andrea","30 novembre"
"090066","Comune di Semestene","Piazza Dante, 14","07010","Semestene","Sassari","segreteria@comune.semestene.ss.it","protocollo@pec.comune.semestene.ss.it","+39 079 866510","","","","142","39,58","30128,53","405,00","I598","00254670904","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","23 aprile San Giorgio","23 aprile"
"090067","Comune di Sennori","Via Brigata Sassari, 13","07036","Sennori","Sassari","info@comunedisennori.it","protocollo.sennori@pec.comunas.it","+39 079 3049245","","","+39 079 3049200","7135","31,34","34957,36","350,00","I614","80003910900","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","III domenica di giugno San Basilo Magno","III domenica di giugno San Basilio Magno"
"090068","Comune di Siligo","Via Francesco Cossiga, 42","07040","Siligo","Sassari","servizigenerali@comunesiligo.it","protocollo@pec.comunesiligo.it","","","","+39 079 836003","838","43,45","35363,44","406,00","I732","00254280902","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","23 dicembre Santa Vittoria","23 dicembre"
"090069","Comune di Sorso","Piazza Garibaldi, 1","07037","Sorso","Sassari","protocollo@comune.sorso.ss.it","protocollo@pec.comune.sorso.ss.it","","protocollo@comune.sorso.ss.it","","+39 079 3392203","14792","67,01","52630,87","136,00","I863","80001140906","Romangia","","Distretto di Sassari","PLUS - Distretto di Sassari","27 luglio San Pantaleo","27 luglio"
"090070","Comune di Tempio Pausania","Piazza Gallura, 3","07029","Tempio Pausania","Sassari","segreteriaprotocollo@comunetempio.it, segreteriaprotocollo@comuneditempiopausania.it","protocollo@pec.comune.tempiopausania.ot.it","+39 079 631859","","","+39 079 679906","13798","210,82","124343,26","566,00","L093","00253250906","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","29 agosto San Paolo eremita e Madonna del Buon Cammino","29 agosto"
"090071","Comune di Thiesi","Piazza Caduti in Guerra, 2","07047","Thiesi","Sassari","protocollo@comune.thiesi.ss.it","protocollo@pec.comune.thiesi.ss.it","","","","","2866","63,25","54798,24","461,00","L158","00075850909","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","23 dicembre Santa Vittoria","23 dicembre"
"090072","Comune di Tissi","Via Dante, 5","07040","Tissi","Sassari","protocollo@comune.tissi.ss.it","protocollo@pec.comune.tissi.ss.it","+39 079 3888023","","","","2387","10,24","25628,93","225,00","L180","00248560906","Coros","","Distretto di Sassari","PLUS - Distretto di Sassari","15 maggio Santa Vittoria","15 maggio"
"090073","Comune di Torralba","Piazza Monsignor Pola, 5","07048","Torralba","Sassari","amministrativo@comune.torralba.ss.it","protocollo@pec.comune.torralba.ss.it","+39 079 847066","","","","938","36,50","33711,20","435,00","L235","80005320900","Meilogu","","Distretto di Alghero","PLUS - Distretto di Alghero","29 giugno San Pietro Apostolo martire","29 giugno"
"090074","Comune di Trinità d'Agultu e Vignola","Via Sassari, 7","07038","Trinità D'Agultu e Vignola","Sassari","protocollo.trinitadagultu@comuneditrinita.it","protocollo.trinitadagultu@legalmail.it","+39 079 681480","","","","2233","134,00","94454,81","365,00","L428","82004710909","Alta Gallura","","Distretto di Tempio","PLUS - Distretto di Tempio Pausania","VIII domenica dopo Pasqua Santissima Trinità ","VIII domenica dopo Pasqua Santissima Trinità "
"090075","Comune di Tula","Corso Repubblica, 93","07010","Tula","Sassari","protocollo@comune.tula.ss.it","protocollo@pec.comune.tula.ss.it","","","","","1499","66,19","42256,97","275,00","L464","81000970905","Montacuto","","Distretto di OzierI","PLUS - Distretto di OzierI","21 maggio Sant'Elena Imperatrice","21 maggio"
"090076","Comune di Uri","Via Sassari, 99","07040","Uri","Sassari","protocollo@comune.uri.ss.it","protocollo.uri@pec.comunas.it","+39 079 4187077","","","+39 079 418701","2921","56,81","43280,29","150,00","L503","92081820901","Coros","","Distretto di Alghero","PLUS - Distretto di Alghero","13 settembre Madonna della Pazienza","13 settembre"
"090077","Comune di Usini","Via Risorgimento, 70","07049","Usini","Sassari","amministrativi@comunediusini.it","comunediusini@cert.legalmail.it","+39 079 380699","","","","4306","30,74","39960,12","200,00","L509","00206220907","Coros","","Distretto di Sassari","PLUS - Distretto di Sassari","8 settembre Natività Beata Vergine","8 settembre"
"090078","Comune di Villanova Monteleone","Via Nazionale, 102-104","07019","Villanova Monteleone","Sassari","resp.servizioamministrativo@comune.villanovamonteleone.ss.it","comune.villanovamonteleone@halleycert.it","+39 079 960736","","","","2222","202,68","76370,40","567,00","L989","00233770908","Villanova","","Distretto di Alghero","PLUS - Distretto di Alghero","11 giugno e 6 novembre San Leonardo","11 giugno"
"090079","Comune di Valledoria","Corso Europa, 77","07039","Valledoria","Sassari","protocollo@comune.valledoria.ss.it","protocollo@pec.comune.valledoria.ss.it","","","","","4323","25,95","29785,56","16,00","L604","80005850906","Anglona","","Distretto di Sassari","PLUS - Distretto di Sassari","21 novembre Cristo Re","21 novembre"
